lake;month;year;ocsed
CN;4;2006;1.7
CN;6;2006;1.6
CN;7;2006;2
CN;10;2006;2.8
CN;11;2006;0.5
CN;12;2006;0.8
CN;12;2006;1.8
CN;1;2007;0.9
CN;3;2007;0.8
CN;4;2007;2
CN;6;2007;2.5
CN;7;2007;1.1
CN;8;2007;1.3
CN;10;2007;0.4
CN;1;2008;0.3
CN;2;2008;0.8
CN;3;2008;0.5
CN;4;2008;0.9
CN;5;2008;0.8
CN;6;2008;0.7
CN;7;2008;1.4
CN;8;2008;1.6
CN;9;2008;1.1
CN;10;2008;2.5
CN;11;2008;0.4
CN;12;2008;0.4
CN;1;2009;0.7
CN;2;2009;0.4
CN;3;2009;0.6
CN;4;2009;0.5
CN;7;2009;1.5
CN;8;2009;2
CN;9;2009;2
CN;9;2009;1.5
CN;10;2009;2.1
CN;11;2009;0.5
CN;1;2010;0.4
CN;2;2010;0.9
CN;3;2010;2.2
CN;4;2010;0.7
CN;5;2010;0.9
CN;6;2010;1
CN;7;2010;2.7
CN;8;2010;1.6
CN;9;2010;0.5
CN;11;2010;0.3
CN;1;2011;0.4
CN;2;2011;0.4
CN;3;2011;1.4
CN;5;2011;0.7
CN;6;2011;1.1
CN;7;2011;1.2
CN;8;2011;1.4
CN;9;2011;1.6
CN;9;2011;1.6
CN;10;2011;2.4
CN;11;2011;1.1
CN;12;2011;0.6
CN;1;2012;0.4
CN;3;2012;0.6
CN;4;2012;0.8
CN;5;2012;1.7
CN;6;2012;0.7
CN;7;2012;0.6
CN;8;2012;0.5
CN;9;2012;1.3
CN;10;2012;0.8
CN;11;2012;1.1
CN;12;2012;0.6
CN;1;2013;0.3
CN;2;2013;0.4
CN;3;2013;0.3
CN;4;2013;0.9
CN;5;2013;0.8
CN;6;2013;0.7
CN;7;2013;1.2
MP;4;2006;1.01815879
MP;5;2006;0.863026163
MP;6;2006;1.26120732
MP;7;2006;1.38416877
MP;8;2006;0.966526011
MP;9;2006;1.200894786
MP;10;2006;0.96779981
MP;11;2006;0.568331221
MP;11;2006;0.740519741
MP;12;2006;1.543186295
MP;1;2007;0.64665833
MP;2;2007;0.980310197
MP;3;2007;1.263462298
MP;4;2007;0.891811882
MP;5;2007;1.737414401
MP;6;2007;3.167867197
MP;7;2007;2.38763291
MP;8;2007;1.677331274
MP;9;2007;1.543195893
MP;10;2007;0.586173535
MP;11;2007;1.045637834
MP;12;2007;0.935018412
MP;2;2008;0.917131896
MP;3;2008;0.506605248
MP;4;2008;1.161853176
MP;5;2008;0.433511922
MP;6;2008;1.271276336
MP;7;2008;1.828394109
MP;8;2008;3.155419193
MP;9;2008;4.347983122
MP;10;2008;0.135402276
MP;11;2008;0.417410921
MP;12;2008;0.4706145
MP;1;2009;0.990861989
MP;2;2009;0.412283662
MP;3;2009;0.910765005
MP;4;2009;1.014699944
MP;5;2009;0.994953878
MP;6;2009;1.271421832
MP;7;2009;1.711079893
MP;8;2009;0.89582924
MP;9;2009;0.81824401
MP;9;2009;1.047880596
MP;10;2009;0.59384338
MP;11;2009;0.322236427
MP;12;2009;0.739941703
MP;1;2010;0.494298819
MP;2;2010;0.741125609
MP;3;2010;1.72889818
MP;4;2010;1.516311336
MP;5;2010;1.005570149
MP;6;2010;1.070367517
MP;7;2010;2.237695774
MP;8;2010;3.073151703
MP;9;2010;0.568465332
MP;10;2010;0.712160268
MP;11;2010;0.263555684
MP;1;2011;0.35839194
MP;2;2011;0.329273276
MP;3;2011;2.119232545
MP;4;2011;1.600501443
MP;5;2011;0.94433618
MP;6;2011;1.152578255
MP;7;2011;0.916335121
MP;8;2011;0.904579483
MP;9;2011;1.327064887
MP;9;2011;1.667014364
MP;12;2011;0.283184173
MP;1;2012;0.196178062
MP;2;2012;0.632127733
MP;3;2012;1.472209651
MP;4;2012;1.302833807
MP;5;2012;0.985051305
MP;6;2012;1.168565953
MP;7;2012;1.094174349
MP;8;2012;1.076712642
MP;9;2012;0.991893001
MP;10;2012;0.873648171
MP;11;2012;1.630773681
MP;12;2012;0.517845705
MP;1;2013;0.375707719
MP;2;2013;0.892852971
MP;3;2013;0.810849642
MP;4;2013;0.918533708
MP;5;2013;0.570283582
MP;6;2013;0.337919603
MP;7;2013;1.576632037
TP;4;2006;0.624872656
TP;5;2006;0.72449926
TP;6;2006;2.360171674
TP;7;2006;2.04109674
TP;8;2006;2.032673281
TP;9;2006;3.103888444
TP;10;2006;2.604881138
TP;11;2006;0.910621638
TP;11;2006;0.7939045
TP;12;2006;0.132368419
TP;1;2007;1.022812979
TP;2;2007;1.128691847
TP;3;2007;0.76894927
TP;4;2007;0.699166476
TP;5;2007;2.059790855
TP;6;2007;4.320374136
TP;7;2007;1.31424253
TP;8;2007;3.414799156
TP;9;2007;1.774920078
TP;10;2007;0.810656759
TP;11;2007;0.45691095
TP;12;2007;0.421763179
TP;1;2008;0.535959707
TP;2;2008;0.330240305
TP;3;2008;1.479569106
TP;4;2008;1.060414095
TP;5;2008;0.292314599
TP;6;2008;2.338888847
TP;7;2008;1.929643676
TP;8;2008;2.93853881
TP;9;2008;12.22341174
TP;10;2008;1.021109732
TP;11;2008;0.326229967
TP;12;2008;0.342410998
TP;1;2009;0.196870752
TP;2;2009;0.472093614
TP;3;2009;0.901697785
TP;4;2009;1.19306324
TP;5;2009;2.535844616
TP;6;2009;0.303189255
TP;7;2009;1.598184649
TP;8;2009;1.016514614
TP;9;2009;0.52755663
TP;9;2009;0.678573759
TP;10;2009;1.399039038
TP;11;2009;0.63631707
TP;12;2009;0.352542663
TP;1;2010;0.403009132
TP;2;2010;1.059307375
TP;3;2010;2.604140391
TP;4;2010;1.565217193
TP;5;2010;1.708442777
TP;6;2010;2.527423681
TP;7;2010;3.31564007
TP;8;2010;2.321479667
TP;9;2010;4.159391748
TP;10;2010;1.028227573
TP;11;2010;0.503451038
TP;1;2011;0.351314606
TP;2;2011;0.51077885
TP;3;2011;1.913416364
TP;4;2011;2.041883441
TP;5;2011;1.877098668
TP;6;2011;1.407898007
TP;7;2011;1.919311511
TP;8;2011;8.609378163
TP;9;2011;8.421835778
TP;9;2011;0.619808043
TP;10;2011;0.361199837
TP;11;2011;1.291352019
TP;12;2011;0.683961826
TP;1;2012;0.522521898
TP;2;2012;0.742148115
TP;3;2012;1.983412599
TP;4;2012;1.794178908
TP;5;2012;0.901546938
TP;6;2012;1.295157739
TP;7;2012;1.056673991
TP;8;2012;0.260586909
TP;9;2012;0.890947173
TP;10;2012;0.867598432
TP;11;2012;1.567852597
TP;12;2012;1.698037231
TP;1;2013;0.190822864
TP;2;2013;1.521269688
TP;3;2013;0.559035923
TP;4;2013;2.110371424
TP;5;2013;0.713596601
TP;6;2013;0.831969359
TP;7;2013;0.914422437
